Country,Year,KWH,CO2
Myanmar,1993,5254623939052.164,1259475064338.9568
Myanmar,1994,557505244122.01,203161114302.91638
Myanmar,1995,3933741512813.3643,826685401448.3904
Myanmar,1996,565290619269.2559,205257596451.2073
Myanmar,1997,4422872279824.017,950129799933.4768
Myanmar,1998,4055100917234.3936,943444002849.4553
Myanmar,1999,4086746627958.584,955296662498.304
Myanmar,2000,4097232284821.73,958754860645.9292
Myanmar,2001,643045780171.6825,225211513551.17365
Myanmar,2002,658361642197.4581,230487872312.0137
Myanmar,2003,698716754363.191,242925056014.31006
Myanmar,2004,724941400694.098,248318245820.94492
Myanmar,2005,9504215622160.756,2246681920054.92
Myanmar,2006,761070853168.0115,256685331746.0357
Myanmar,2007,6217922817745.5205,1374023765378.7036
Myanmar,2008,10658258007758.703,2482975280706.4043
Myanmar,2009,762286468002.8757,258751194487.79593
Myanmar,2010,785647102046.8987,264944216178.20334
Myanmar,2011,797418497247.7169,267848100149.25214
Myanmar,2012,787174553892.6921,266323328410.74902
Myanmar,2013,800433836035.1913,269931421124.65366
Myanmar,2014,8444821651570.963,2085336959362.5493
Namibia,1990,639510833844.942,130696829112.8908
Namibia,1991,15564385068.141663,4968337429.02869
Namibia,1992,16123651546.521627,5198828784.856331
Namibia,1993,1623096600998.5518,331487744704.2631
Namibia,1994,17919161595.05951,5896339207.17048
Namibia,1995,31403205937.839474,6308258522.494479
Namibia,1996,19568624079.805927,6339236211.536896
Namibia,1997,950185464361.3528,194973707153.09448
Namibia,1998,20720012974.92579,6695129701.0561
Namibia,1999,20584989143.542133,6637209878.1983185
Namibia,2000,21131029752.362785,6775474691.64338
Namibia,2001,22574718016.359665,7191369525.8013735
Namibia,2002,21653035107.71164,6970904164.493788
Namibia,2003,22577734503.762726,7194805689.152411
Namibia,2004,23184137766.45542,7375590755.715389
Namibia,2005,277353214900.2527,54784472987.06678
Namibia,2006,25021326200.840633,7969883502.44864
Namibia,2007,253566054907.8804,54722969033.04512
Namibia,2008,270446522484.16327,54391047919.49227
Namibia,2009,29497059801.660664,9289979454.90588
Namibia,2010,29726157087.155712,9404321247.581757
Namibia,2011,28070070261.45789,8878282213.044785
Namibia,2012,30448922890.81851,9632085536.053644
Namibia,2013,28469674550.62808,9076780332.569113
Namibia,2014,3556978660697.7246,1081382251136.6554
Nauru,1990,679677177.6,183732857.07484
Nauru,1991,669177169.1999999,180540562.298784
Nauru,1992,637510475.6,171360741.27760002
Nauru,1993,614343790.4,164943215.03247198
Nauru,1994,591899328.0,158536667.685016
Nauru,1995,583677096.8,155943394.011288
Nauru,1996,560510411.6,149525867.76616
Nauru,1997,560510411.6,149525867.76616
Nauru,1998,538065949.2,143119320.418704
Nauru,1999,502565920.0,133823673.94930401
Nauru,2000,471399228.4,125305011.02326801
Nauru,2001,427315863.0,114075088.782448
Nauru,2002,403841622.0,107686312.56072001
Nauru,2003,367640092.24,97745998.353664
Nauru,2004,348715076.38,92529528.495336
Nauru,2005,338565349.23999995,90231846.700536
Nauru,2006,246624218.496,66558885.292394
Nauru,2007,240611208.48399997,64315969.07153001
Nauru,2008,247482048.274,66186410.77428201
Nauru,2009,247887601.194,65876190.45846201
Nauru,2010,253859549.216,67343405.293922
Nauru,2011,247748843.60799998,65449847.793884
Nauru,2012,250723319.792,66184080.754864
Nauru,2013,267667499.214,70832494.307192
Nauru,2014,281256931.024,74481740.831976
Nepal,1990,880563854169.2379,73139304750.93306
Nepal,1991,151951391236.62698,59830910838.82994
Nepal,1992,153795080385.304,60457674073.9262
Nepal,1993,885317244470.2822,74669068407.78822
Nepal,1994,156432104305.68103,61266685286.52953
Nepal,1995,1031073088140.4255,130008244231.55469
Nepal,1996,310989966916.39294,119979255758.02847
Nepal,1997,1042181617972.4082,134842885273.60982
Nepal,1998,320427328538.8322,123499799311.83865
Nepal,1999,330699303680.5837,127063516243.639
Nepal,2000,345324235532.6645,132653195146.59955
Nepal,2001,349457498658.5882,134103735919.96286
Nepal,2002,359343377304.63715,137974283439.30362
Nepal,2003,366746073757.8309,140704353274.43048
Nepal,2004,375877587866.3635,144231809665.34247
Nepal,2005,1148363525082.3286,171066326627.76242
Nepal,2006,394104064371.7395,151243357077.12436
Nepal,2007,420335242688.05835,161215508166.87387
Nepal,2008,1147076043429.337,171957051352.21686
Nepal,2009,419276172852.92303,160358936128.29227
Nepal,2010,429361200574.78906,163983372021.18814
Nepal,2011,360600199852.6423,136709726530.59238
Nepal,2012,407187170886.15936,154418972803.62714
Nepal,2013,461778788487.44415,175077548269.87964
Nepal,2014,575308788221.3662,215011681169.9058
Netherlands,1990,60273832205554.914,17150816327771.041
Netherlands,1991,25367892368961.97,8085655720378.421
Netherlands,1992,3129242369430.2446,800169700167.1617
Netherlands,1993,59484379394012.85,17007206027671.133
Netherlands,1994,25309300007365.62,8066468509532.569
Netherlands,1995,56029285952847.375,15740345635905.33
Netherlands,1996,2929835653381.923,740543877796.8198
Netherlands,1997,55240116472865.52,15641660927237.406
Netherlands,1998,21341619838340.805,4515591849239.287
Netherlands,1999,21277533352763.277,4494289719414.8125
Netherlands,2000,21401342221641.75,4530542826876.026
Netherlands,2001,21438125792826.55,4554082930872.89
Netherlands,2002,21354025747784.387,4523114105553.852
Netherlands,2003,2993334432633.022,771893466212.0022
Netherlands,2004,3197571410317.788,819130026953.1289
Netherlands,2005,16088765389604.535,3457245255629.382
Netherlands,2006,3288380650380.386,845798687770.1616
Netherlands,2007,16373476660199.068,3527375421477.088
Netherlands,2008,16042330748466.207,3450168259700.8433
Netherlands,2009,3372453140538.4077,868257397663.2538
Netherlands,2010,3597454966274.165,924505904371.056
Netherlands,2011,3536767835779.8965,917706469919.2272
Netherlands,2012,3654336717724.7153,950748284483.2556
Netherlands,2013,3876783375106.5483,1014789990119.7004
Netherlands,2014,36545502937264.44,10910659582117.803
New Caledonia,1990,103564550456.896,33421146376.231247
New Caledonia,1991,104148767628.09,33601499810.289227
New Caledonia,1992,71293269807.24,22872812899.601124
New Caledonia,1993,104667871430.012,33753388483.66896
New Caledonia,1994,72286199692.946,23127923194.807205
New Caledonia,1995,9135721663.846,2425026700.5887694
New Caledonia,1996,9569700582.34,2535818048.604197
New Caledonia,1997,23860249902.714,7212895969.519111
New Caledonia,1998,8730247045.532,2235253229.46646
New Caledonia,1999,9679951451.794,2478912302.5694427
New Caledonia,2000,10217560598.018002,2689637260.970907
New Caledonia,2001,9399028176.762001,2460829820.752195
New Caledonia,2002,10905070977.9,2903768743.368005
